papipe_peak,papipe_umis
chr17_51077966_r,165
chr17_51080922_r,35
chr17_51082377_f,114
chr17_51088007_f,20
chr17_51089994_r,79
chr17_51091514_r,567
chr17_51096127_r,12
chr17_51096867_r,36
chr17_51099099_f,22
chr17_51101345_f,131
chr17_51105568_r,79
chr17_51108484_r,99
chr17_51109879_r,677
chr17_51110750_r,40
chr17_51115434_r,1824
chr17_51119033_f,323
chr17_51119280_r,243
chr17_51119748_r,190
chr17_51121788_f,253
chr17_5114382_f,337
chr17_511491_r,41
chr17_51162032_f,4408
chr17_51171743_f,25379
chr17_51177425_r,441
chr17_51215950_r,320
chr17_51218138_r,28
chr17_51243291_r,162
chr17_51248252_r,63
chr17_51263369_f,98
chr17_51265584_r,352
chr17_51266216_f,54
chr17_51267637_f,44
chr17_51271485_f,220
chr17_51280890_f,340
chr17_51282511_f,447
chr17_51283565_f,13
chr17_51291738_f,489
chr17_51297929_f,574
chr17_513222_r,20
chr17_516742_r,36
chr17_5244694_r,2
chr17_5261246_f,3
chr17_5264430_f,10
chr17_5283214_f,360
chr17_5284848_f,526
chr17_528617_r,221
chr17_5286343_f,54
chr17_5287598_f,303
chr17_5293799_f,20
chr17_5298266_f,4
chr17_5301106_f,2
chr17_5301785_f,214
chr17_5302133_f,21
chr17_5305205_f,9
chr17_530597_r,48
chr17_53106367_f,517
chr17_5311697_f,123
chr17_5316449_f,202
chr17_531968_r,219
chr17_5336690_f,56
chr17_5339151_f,262
chr17_5343404_f,13
chr17_5344771_f,184
chr17_53539517_f,1
chr17_53550615_f,3
chr17_5364272_f,15
chr17_5367088_f,9
chr17_5367703_r,21
chr17_5368958_f,18
chr17_5383720_f,111
chr17_5384736_f,45
chr17_5385340_r,4
chr17_5386101_r,528
chr17_5392956_r,156
chr17_5393455_r,664
chr17_53968073_r,2
chr17_5398609_r,445
chr17_5399211_r,725
chr17_5400529_r,73
chr17_5401691_r,329
chr17_5405081_r,35
chr17_5410906_r,29
chr17_5416144_f,23
chr17_5416627_r,23
chr17_5418781_r,256
chr17_5419139_r,377
chr17_5419659_f,4
chr17_542686_r,83
chr17_5431483_f,371
chr17_5432777_r,7926
chr17_5432882_f,791
chr17_5438238_r,38
chr17_5440917_r,153
chr17_5442276_r,151
chr17_5461958_r,163
chr17_5474291_r,1014
chr17_5481408_r,9
chr17_5487435_f,393
chr17_5488016_f,93
chr17_5490814_f,134
chr17_549274_r,17
chr17_54961942_r,184
chr17_54962798_r,10
chr17_5499428_r,372
chr17_55033039_f,50
chr17_5506902_f,106
chr17_5514245_r,1302
chr17_5516606_r,24
chr17_5525994_r,166
chr17_5529386_r,259
chr17_5529759_r,346
chr17_5536469_r,204
chr17_55392622_r,113
chr17_55393824_r,7
chr17_55411735_r,4
chr17_5550759_r,103
chr17_5555152_r,39
chr17_55775723_f,28
chr17_55777374_f,142
chr17_5581860_r,126
chr17_55832074_f,10
chr17_55849158_f,5
chr17_559279_r,9
chr17_561341_r,2
chr17_56779864_r,71
chr17_56827252_r,29
chr17_56833020_r,199
chr17_56852425_f,69
chr17_56856005_f,37
chr17_56868675_f,143
chr17_56896812_r,19
chr17_56908180_r,65
chr17_56911554_r,17
chr17_56914533_f,1015
chr17_56944051_r,174
chr17_56950768_r,1155
chr17_56960341_r,11
chr17_56981821_f,34
chr17_56997111_f,266
chr17_56998285_r,8
chr17_56999980_f,61
chr17_57006761_f,1167
chr17_57120516_f,145
chr17_57121344_f,179
chr17_57255631_r,8
chr17_57257215_f,58
chr17_57259014_f,11
chr17_57274482_f,35
chr17_57295093_f,5
chr17_57300330_f,5
chr17_57311371_f,6
chr17_57338487_f,2
chr17_57389105_f,2
chr17_57392868_r,1
chr17_57396647_f,1
chr17_57534715_f,4
chr17_57579871_f,32
chr17_57591567_f,56
chr17_57597466_f,69
chr17_57617767_f,9
chr17_57632027_f,30
chr17_57633181_f,38
chr17_57682011_f,33
chr17_57684648_f,118
chr17_57839486_r,1175
chr17_57861603_r,92
chr17_57887921_r,8
chr17_57971552_r,119
chr17_57981890_r,63
chr17_57986183_r,63
chr17_57986713_r,49
chr17_57989051_r,1143
chr17_57994431_r,19
chr17_57994950_r,32
chr17_57995333_r,145
chr17_57996483_f,709
chr17_57997922_r,59
chr17_58002460_r,117
chr17_58003493_r,2227
chr17_58004357_r,114
chr17_58005855_r,297
chr17_58006654_r,37
chr17_58089450_f,534
chr17_58091223_f,821
chr17_58235298_r,3
chr17_58251844_f,11
chr17_58255451_r,30
chr17_58260910_r,68
chr17_58264204_r,380
chr17_58265600_r,928
chr17_58266469_r,201
chr17_58267007_r,1319
chr17_58269855_r,82050
chr17_58270474_r,16723
chr17_58271767_r,208
chr17_58272867_r,130
chr17_58275396_r,1336
chr17_58277646_r,1001
chr17_58278523_r,1451
chr17_58281139_r,549
chr17_58286792_f,21
chr17_58289942_f,412
chr17_58290324_f,2066
chr17_58291401_f,236
chr17_58293488_f,299
chr17_58294174_f,422
chr17_58298285_f,502
chr17_58299836_f,43
chr17_58300264_f,22
chr17_58301231_r,949
chr17_58314622_r,21
chr17_58315099_r,934
chr17_58315617_r,16
chr17_58317817_r,202
chr17_58318184_r,56
chr17_58321316_r,2045
chr17_58329167_r,109
chr17_58329768_r,291
chr17_58330025_f,19
chr17_58330338_r,341
chr17_58330888_r,5944
chr17_58331291_r,624
chr17_58331959_r,253
chr17_58332252_r,802
chr17_58334209_f,14
chr17_58338404_r,4
chr17_58339549_f,13
chr17_58339806_f,15
chr17_58340549_f,578
chr17_58341261_r,22
chr17_58345178_r,602
chr17_58345927_r,1581
chr17_58346718_f,503
chr17_58349246_r,51
chr17_58353381_f,140
chr17_58353719_f,221
chr17_58489537_r,240
chr17_58510996_r,360
chr17_58631786_r,401
chr17_58657533_r,150
chr17_58658410_r,1131
chr17_58658961_r,9100
chr17_58695334_f,271
chr17_588460_r,12
chr17_58998202_r,175
chr17_59001650_r,2
chr17_59009463_r,125
chr17_59059948_r,1
chr17_59067026_r,30
chr17_59088314_r,35
chr17_59109955_r,133
chr17_59142308_r,38
chr17_59153748_r,81
chr17_59164127_f,1076
chr17_59171933_f,3
chr17_59186788_f,27
chr17_59194784_f,16
chr17_59203970_f,87
chr17_59211863_f,17
chr17_59215557_r,18
chr17_59331388_f,2
chr17_59387880_f,3
chr17_59400408_f,42
chr17_59401729_f,478
chr17_59612970_f,2
chr17_59617731_r,171
chr17_59619305_f,5
chr17_59620204_f,159
chr17_59624273_f,132
chr17_59624802_f,100
chr17_59625712_f,284
chr17_59629873_f,165
chr17_59631465_f,151
chr17_59632367_f,531
chr17_59633491_f,425
chr17_59638291_f,26
chr17_59639803_f,881
chr17_59641117_f,114
chr17_59647424_f,104
chr17_59648334_f,67
chr17_59650506_r,630
chr17_59661764_f,698
chr17_59662102_f,726
chr17_59662491_f,31
chr17_59664550_f,3782
chr17_59670217_f,251
chr17_59675715_f,14
chr17_59684806_f,1477
chr17_59686839_f,19
chr17_59690665_f,209
chr17_59694275_f,140
chr17_59694813_f,1540
chr17_59695110_f,711
chr17_59706153_r,25
chr17_59707384_r,73
chr17_59716761_f,17
chr17_59719364_f,31
chr17_59721040_f,211
chr17_59723651_f,129
chr17_59724281_f,423
chr17_59733198_f,67
chr17_59734581_f,69
chr17_59735492_f,173
chr17_59736402_f,412
chr17_59739723_f,581
chr17_59741194_f,210
chr17_59741488_f,78
chr17_59744462_f,855
chr17_59749880_f,14
chr17_59754592_f,103
chr17_59757885_r,216
chr17_59760122_f,304
chr17_59763447_f,40
chr17_59774068_f,404
chr17_59782648_f,50
chr17_59785689_f,328
chr17_59794552_r,243
chr17_59801092_f,158
chr17_59805186_f,29
chr17_59805873_f,25
chr17_59813198_f,41
chr17_59815855_f,238
chr17_59818429_f,168
chr17_59823301_f,146
chr17_59827342_f,13
chr17_59839371_f,96
chr17_59840593_f,1338
chr17_59841095_f,76
chr17_59841546_f,167
chr17_59841887_f,583
chr17_59859479_r,37
chr17_59894050_f,592
chr17_59895340_r,105
chr17_59896911_f,1444
chr17_59898397_f,315
chr17_59901625_f,597
chr17_59904857_f,21
chr17_59905848_f,35
chr17_59908944_r,76
chr17_59909286_r,64
chr17_59927506_f,22
chr17_59935098_f,12
chr17_59946970_f,90
chr17_59947459_f,404
chr17_59952363_r,192
chr17_59958946_r,50
chr17_60041288_r,16
chr17_60057849_r,16
chr17_60064588_r,64
chr17_60177233_r,379
chr17_60180685_r,12
chr17_60183989_r,29
chr17_60196472_r,37
chr17_60198389_r,9
chr17_60201677_r,63
chr17_60204974_r,127
chr17_60212760_r,498
chr17_60227597_r,344
chr17_60227859_r,94
chr17_60229981_r,312
chr17_60235335_r,18
chr17_60244054_r,393
chr17_60244799_r,37
chr17_60255316_r,526
chr17_60260216_r,20
chr17_60262966_r,342
chr17_60264552_r,30
chr17_60266674_r,75
chr17_60276216_r,35
chr17_60277936_r,270
chr17_60281535_f,10
chr17_60292802_r,15
chr17_60293405_r,141
chr17_60304528_r,145
chr17_60319235_r,5
chr17_60366828_r,123
chr17_60372402_r,6
chr17_60373462_r,282
chr17_60381009_r,47
chr17_60389673_r,53
chr17_60390843_r,65
chr17_60411917_r,9
chr17_60415394_r,4
chr17_60416936_r,154
chr17_60421208_r,193
chr17_60438767_r,11
chr17_60445462_r,76
chr17_60461515_r,3
chr17_60470794_r,14
chr17_60478766_r,1
chr17_60495640_r,53
chr17_60521277_r,24
chr17_60527268_f,27
chr17_60601741_f,134
chr17_60601992_f,64
chr17_60603401_f,84
chr17_60604189_f,38
chr17_60606563_f,251
chr17_60610220_f,335
chr17_60610737_f,52
chr17_60626249_f,37
chr17_60637838_f,153
chr17_60642287_f,65
chr17_60643905_r,21
chr17_60644266_f,24
chr17_60660336_f,41
chr17_60661619_f,8
chr17_60663664_f,80
chr17_60664160_f,24
chr17_60664482_f,72
chr17_61074485_f,1
chr17_61145123_f,3
chr17_61175336_f,29
chr17_61189648_f,35
chr17_61205155_f,22
chr17_61211668_f,72
chr17_61214955_f,11
chr17_61698286_r,18
chr17_61739061_r,15
chr17_61747745_r,48
chr17_61759668_r,3
chr17_61817957_r,35
chr17_61821074_r,16
chr17_61836131_r,174
chr17_61865371_r,122
chr17_61899256_r,36
chr17_61905260_r,158
chr17_61918943_r,49
chr17_61942670_r,186
chr17_61945878_r,170
chr17_61957368_r,98
chr17_61960826_r,79
chr17_61976789_r,19
chr17_61978810_r,392
chr17_61980909_r,225
chr17_61982604_r,29
chr17_61992114_r,131
chr17_61992514_r,33
chr17_61994307_r,175
chr17_61995203_r,80
chr17_61998620_r,586
chr17_61998950_r,1445
chr17_62003698_r,224
chr17_62004918_r,433
chr17_62010422_r,210
chr17_62037955_f,266
chr17_62039611_r,1287
chr17_62040168_r,91
chr17_62041579_r,316
chr17_62045040_r,184
chr17_62045932_r,214
chr17_62048398_f,399
chr17_62050581_r,102
chr17_62052551_r,336
chr17_62054019_r,125
chr17_62058145_r,38
chr17_62058596_r,26
chr17_62063290_r,159
chr17_62065903_r,16
chr17_62452111_f,16
chr17_62482941_f,8
chr17_62487641_r,97
chr17_62493096_f,12
chr17_62498904_f,20
chr17_62502123_f,170
chr17_62508052_f,28
chr17_62520675_f,371
chr17_62526169_f,10
chr17_62538368_f,11
chr17_62540424_r,447
chr17_62554876_f,110
chr17_62564535_f,150
chr17_62565650_f,482
chr17_62583544_f,23
chr17_62586826_f,343
chr17_62595396_f,8
chr17_62600243_f,77
chr17_62945634_r,3
chr17_62967697_f,193
chr17_63013762_f,15
chr17_63028860_f,46
chr17_63191462_r,406
chr17_63288732_f,30
chr17_63291431_f,3
chr17_63372756_f,1
chr17_63422334_f,29
chr17_63427706_f,83
chr17_63432304_r,193
chr17_63440090_f,4
chr17_63552626_f,75
chr17_63557502_f,301
chr17_63563497_f,33
chr17_63590401_f,242
chr17_63594279_f,291
chr17_63607432_f,49
chr17_63608365_f,286
chr17_63624285_f,95
chr17_63633229_f,537
chr17_63634833_f,34
chr17_63642508_f,125
chr17_63643169_f,108
chr17_63656605_f,24
chr17_63659550_r,73
chr17_63662244_f,117
chr17_63663500_f,177
chr17_63666937_f,8
chr17_63684647_f,24
chr17_63694500_f,15
chr17_63697816_r,7066
chr17_63702685_f,85
chr17_63702842_r,577
chr17_63713348_r,20
chr17_63726064_r,167
chr17_63733380_r,108
chr17_63741251_r,18
chr17_63745255_r,290
chr17_63746404_r,294
chr17_63754410_r,122
chr17_63762302_r,360
chr17_63765358_r,858
chr17_63766591_r,749
chr17_63767635_r,60
chr17_63771441_r,22
chr17_63772272_r,789
chr17_63772556_r,1448
chr17_63775421_f,26
chr17_63792423_f,171
chr17_63798074_f,57
chr17_63818222_f,47
chr17_63819317_f,678
chr17_63832016_f,2263
chr17_63832084_r,1466
chr17_63835131_r,21
chr17_63840511_r,503
chr17_63928738_r,1021
chr17_64002595_r,1095
chr17_64039149_r,83
chr17_64119406_r,215
chr17_64122944_r,79
chr17_64128415_r,320
chr17_64128750_r,201
chr17_64144875_r,8
chr17_64146309_f,5931
chr17_64147687_r,140
chr17_64147735_f,19
chr17_64191298_r,22
chr17_64197007_r,22
chr17_64204185_r,6
chr17_64210660_r,102
chr17_64257318_r,4
chr17_64258646_r,53
chr17_64322504_r,842
chr17_64323050_r,414
chr17_64323462_r,128
chr17_64341096_f,88
chr17_64350327_r,127
chr17_64353958_r,94
chr17_64356860_r,223
chr17_64375241_r,27
chr17_64378639_f,2
chr17_64381207_r,13
chr17_64391713_f,616
chr17_64393632_r,12
chr17_64395752_f,7
chr17_64430046_r,3
chr17_64464415_r,12
chr17_64468648_f,357
chr17_64473349_f,128
chr17_64474008_f,244
chr17_64477787_r,300
chr17_64485188_r,268
chr17_64487882_r,184
chr17_64497225_r,128
chr17_64498256_r,237
chr17_64498920_r,98
chr17_64499620_r,20438
chr17_64499969_r,2854
chr17_64500378_r,665
chr17_64501174_r,84
chr17_64501437_r,87
chr17_64501708_r,252
chr17_64502476_r,1055
chr17_64502926_r,1226
chr17_64503211_r,1161
chr17_64503944_r,159
chr17_64504294_r,163
chr17_64504817_r,693
chr17_64505540_r,251
chr17_64508040_f,1066
chr17_64508613_f,55
chr17_64512430_f,75
chr17_64514469_f,86
chr17_64516503_f,153
chr17_64517399_f,341
chr17_64518267_f,62
chr17_64518646_f,129
chr17_64521854_f,91
chr17_64524968_f,117
chr17_64529945_f,150
chr17_64534840_f,67
chr17_64535413_f,34
chr17_64537942_f,1030
chr17_64545341_r,176
chr17_64560055_r,31
chr17_64576900_r,113
chr17_64613010_r,93
chr17_64618017_r,61
chr17_64619478_f,217
chr17_64635397_r,15
chr17_64637075_r,334
chr17_64643356_r,89
chr17_64646823_r,67
chr17_64648496_r,84
chr17_64651266_r,146
chr17_64656076_r,127
chr17_64657077_r,33
chr17_64658372_r,26
chr17_64660959_r,33
chr17_64769015_r,4
chr17_64777715_r,14
chr17_64783412_r,78
chr17_64792545_r,1
chr17_64792874_r,3
chr17_64794402_r,2
chr17_64805667_r,80
chr17_64809757_r,6
chr17_64820227_r,157
chr17_64821162_r,61
chr17_64826241_f,101
chr17_64827204_f,598
chr17_64920134_f,244
chr17_64920553_r,3
chr17_64971201_r,6
chr17_64971774_r,18
chr17_64974133_r,19
chr17_64976381_f,51
chr17_65010715_r,1039
chr17_65020679_f,5
chr17_65022516_r,39
chr17_65029245_r,30
chr17_65030499_r,10
chr17_65034803_r,221
chr17_65039967_r,98
chr17_65043454_r,260
chr17_65051371_r,21
chr17_65052170_r,171
chr17_65059915_f,20
chr17_65779891_r,2
chr17_6581132_r,4
chr17_658202_r,1
chr17_6583627_r,29
chr17_65927416_r,3
chr17_66038100_f,2
chr17_66306226_f,520
chr17_66312279_f,14
chr17_66322589_f,13
chr17_66337916_f,76
chr17_66338349_f,5
chr17_66349223_f,5
chr17_66349961_f,19
chr17_66379603_f,11
chr17_66398622_f,20
chr17_66400738_f,9
chr17_66414011_f,236
chr17_66414954_f,13
chr17_6642242_r,22
chr17_66427423_f,10
chr17_6643116_f,2330
chr17_66437063_f,48
chr17_6643918_f,11
chr17_66441162_f,143
chr17_6644289_r,323
chr17_66448871_f,300
chr17_6645691_r,52
chr17_66477251_f,40
chr17_66478594_r,18
chr17_66500939_f,58
chr17_66516335_f,196
chr17_66518437_f,90
chr17_66520115_f,5
chr17_66521918_f,17
chr17_66522745_f,236
chr17_66525605_f,7
chr17_66545477_f,33
chr17_66560227_f,212
chr17_66560653_f,5
chr17_66568753_f,18
chr17_66592343_f,141
chr17_66604244_f,82
chr17_66649097_f,167
chr17_66653590_f,187
chr17_66673023_f,11
chr17_66694480_f,221
chr17_66694762_f,296
chr17_66699938_f,66
chr17_66700476_f,50
chr17_66706676_f,124
chr17_66717456_f,1
chr17_66738835_f,6
chr17_66772456_f,4
chr17_66781750_f,7
chr17_66790247_f,10
chr17_66804982_f,13
chr17_66805372_f,83
chr17_66811235_f,1
chr17_66947732_f,1
chr17_670553_r,278
chr17_67070444_r,279
chr17_67077383_r,138
chr17_67078009_r,1342
chr17_67080530_r,17
chr17_67091779_r,70
chr17_67098852_r,10
chr17_67103300_r,17
chr17_67113298_f,2
chr17_67120022_r,434
chr17_67127413_r,30
chr17_67135553_r,141
chr17_67137724_r,81
chr17_67146184_r,144
chr17_67150154_r,1173
chr17_67154091_r,48
chr17_67155959_r,6
chr17_67157424_r,34
chr17_67161634_r,17
chr17_67164417_r,4
chr17_67171218_r,421
chr17_67171553_r,60
chr17_67177823_r,88
chr17_67179436_r,31
chr17_67181497_r,62
chr17_67187154_r,70
chr17_67188842_r,51
chr17_67190729_r,652
chr17_67191471_r,192
chr17_67191781_r,632
chr17_67195477_r,47
chr17_67195870_r,1792
chr17_67200341_r,140
chr17_67206618_r,289
chr17_67207239_r,697
chr17_67210508_r,52
chr17_67232052_f,88
chr17_67232162_r,95
chr17_67245780_f,144
chr17_67300134_f,1
chr17_67337919_r,398
chr17_67340503_r,259
chr17_67340783_r,736
chr17_67341469_f,131
chr17_67342972_r,31
chr17_67345745_r,135
chr17_67346844_r,69
chr17_67347456_r,172
chr17_67351787_r,588
chr17_67353034_r,72
chr17_67359484_r,365
chr17_67360997_r,434
chr17_67363328_r,590
chr17_67364293_r,478
chr17_67365211_r,234
chr17_67365860_r,237
chr17_67378495_f,22
chr17_67388967_f,10
chr17_67393129_f,121
chr17_67396833_f,136
chr17_67405244_f,129
chr17_67414111_f,124
chr17_67415910_f,165
chr17_67416229_r,201
chr17_67430804_f,77
chr17_67441313_r,1
chr17_67472332_f,87
chr17_674986_r,14
chr17_67517329_f,14
chr17_67519195_r,40
chr17_67522628_f,2
chr17_67568521_f,2
chr17_67584551_f,15
chr17_67603941_f,18
chr17_67610919_f,10
chr17_67644866_f,4
chr17_67667490_f,32
chr17_676846_r,306
chr17_67688338_f,106
chr17_67692634_f,131
chr17_67692924_f,340
chr17_67727918_f,110
chr17_67736289_f,177
chr17_67737886_f,52
chr17_67744201_f,488
chr17_6775643_f,145
chr17_67769903_r,5
chr17_67827103_f,441
chr17_67828193_f,31
chr17_67875344_f,11
chr17_67883000_f,288
chr17_67888588_f,291
chr17_67891181_f,337
chr17_67896895_f,78
chr17_67907184_f,105
chr17_67909097_f,50
chr17_67932810_f,324
chr17_67933566_f,346
chr17_67934368_f,369
chr17_67934870_f,188
chr17_67944119_f,5
chr17_67950051_f,210
chr17_67960061_f,116
chr17_67960377_f,27
chr17_67964998_f,237
chr17_67968122_f,108
chr17_67969452_f,191
chr17_67977514_f,73
chr17_67979169_f,97
chr17_67983150_f,377
chr17_68034314_r,1
chr17_68036305_f,129
chr17_680375_r,30
chr17_68038699_f,858
chr17_68040547_f,28
chr17_68043683_f,580
chr17_68044340_f,56
chr17_68046631_f,1581
chr17_68048255_f,9
chr17_68103141_f,73
chr17_68117640_f,139
chr17_68125356_f,13
chr17_68125886_f,734
chr17_68206647_f,5
chr17_68235321_f,4
chr17_68236273_r,1
chr17_68251958_f,17
chr17_68253053_f,10
chr17_68271507_r,2
chr17_68279369_r,1
chr17_68291610_r,14
chr17_68380680_f,8
chr17_68421281_r,109
chr17_68429371_f,20
chr17_68456196_r,98
chr17_68513478_f,168
chr17_68515293_f,377
chr17_68515822_f,410
chr17_68522925_f,41
chr17_68525290_f,297
chr17_68530664_f,92
chr17_68532203_f,135
chr17_68532496_f,285
chr17_68532767_f,825
chr17_68533431_f,22
chr17_68534408_f,5
chr17_68534579_r,7
chr17_686553_r,20
chr17_686925_r,6
chr17_69247346_r,86
chr17_69272332_r,8
chr17_69326351_r,102
chr17_69459709_f,12
chr17_69505810_f,3
chr17_69525187_f,10
chr17_6994094_r,6
chr17_7001951_r,132
chr17_7005605_r,58
chr17_7011482_r,764
chr17_7012840_r,35
chr17_7013458_r,44
chr17_7014532_f,11040
chr17_7015397_f,73
chr17_7015838_f,33
chr17_7017520_f,2863
chr17_7040117_f,1
chr17_7040610_f,18
chr17_7055498_f,5
chr17_70910795_f,3
chr17_7101328_r,120
chr17_7173441_r,712
chr17_7189890_r,18
chr17_7225265_f,5708
chr17_7225343_r,301
chr17_7237177_r,22
chr17_7240421_r,15813
chr17_7241186_r,278
chr17_7243591_r,2336
chr17_7254906_f,1755
chr17_7258867_f,12
chr17_7259475_f,8
chr17_7259940_f,298
chr17_72645950_r,448
chr17_72676142_r,33
chr17_72680105_r,11
chr17_72729041_r,17
chr17_72732067_r,574
chr17_72737602_r,82
chr17_72739130_r,142
chr17_72751596_r,60
chr17_72798432_r,715
chr17_72807094_r,316
chr17_72826509_r,21
chr17_72833472_r,17
chr17_72834099_r,316
chr17_72845579_r,408
chr17_72846048_r,447
chr17_72878622_r,59
chr17_72880720_f,23
chr17_72881344_r,24
chr17_72882815_r,576
chr17_72893884_r,46
chr17_72894360_f,460
chr17_72898729_r,10
chr17_72900975_f,1
chr17_72915037_r,172
chr17_72919455_f,87
chr17_72924648_r,38
chr17_72932615_r,14
chr17_72934801_r,25
chr17_72940630_r,146
chr17_72960045_r,5
chr17_73106697_r,6
chr17_7311923_f,374
chr17_7312463_f,6629
chr17_7312660_r,1049
chr17_7314564_r,277
chr17_7315632_r,173
chr17_73202971_r,4
chr17_73207366_r,516
chr17_73208507_f,241
chr17_73208868_r,9
chr17_73222835_r,9
chr17_73236727_f,2
chr17_73248877_f,33
chr17_73281647_r,1
chr17_73296980_f,17
chr17_7351477_f,530
chr17_7352229_f,1
chr17_7354944_f,5
chr17_7376390_r,25
chr17_7389727_r,1212
chr17_7393467_r,9
chr17_7402975_r,2823
chr17_74203924_f,42831
chr17_74208379_f,3
chr17_74209880_f,7992
chr17_74304213_r,4
chr17_7435684_r,24
chr17_74447429_f,117
chr17_744624_r,395
chr17_74479090_f,2
chr17_74484794_f,342
chr17_74521176_r,28
chr17_74534362_r,101
chr17_74534873_f,243
chr17_7460063_r,138
chr17_74687171_r,9
chr17_74694317_r,549
chr17_74700487_r,7
chr17_7472660_r,270
chr17_7473131_r,210
chr17_74746660_f,344
chr17_74747335_f,1588
chr17_7475011_f,50
chr17_74765573_r,53
chr17_74769353_f,2108
chr17_74770547_r,569
chr17_74783129_f,549
chr17_74784038_f,1211
chr17_74785980_f,183
chr17_74790772_f,1284
chr17_74792145_f,832
chr17_74794935_f,942
chr17_74803947_f,94
chr17_74811327_f,1262
chr17_74811718_f,1700
chr17_74812409_f,124
chr17_74825140_f,10
chr17_7483689_r,43
chr17_74838482_f,101
chr17_74839751_f,253
chr17_7485033_f,658
chr17_7485361_f,602
chr17_74853773_f,7
chr17_74857960_f,43
chr17_7486047_f,262
chr17_74862499_r,448
chr17_7486497_f,880
chr17_7488669_f,759
chr17_7490189_f,157
chr17_7492565_f,838
chr17_7498667_r,916
chr17_7499469_f,99
chr17_7499821_f,511
chr17_7500333_f,253
chr17_75012289_f,6
chr17_75013228_f,118
chr17_75013596_f,36
chr17_75021261_f,791
chr17_75038863_r,2945
chr17_75039212_r,41
chr17_75040095_r,1481
chr17_7504263_f,441
chr17_75044043_r,13
chr17_7504983_f,3160
chr17_7505618_f,429
chr17_75056372_f,3
chr17_75059508_f,4
chr17_75060399_r,5
chr17_7506282_f,1123
chr17_75065889_f,286
chr17_7507046_f,1881
chr17_7507333_f,800
chr17_7508811_f,1673
chr17_75091491_f,2
chr17_750976_r,45
chr17_75098747_f,110
chr17_7509934_f,825
chr17_75106162_f,454
chr17_75110953_f,446
chr17_75120873_f,49
chr17_75126759_r,10
chr17_75130229_r,2051
chr17_75135248_r,1948
chr17_75135988_r,4828
chr17_75136486_r,181
chr17_75137713_r,107
chr17_75138427_r,104
chr17_7514616_f,3864
chr17_75149715_r,23
chr17_75150872_r,149
chr17_75151346_r,10
chr17_75156658_r,101
chr17_75167795_r,4134
chr17_75168156_r,1843
chr17_75172344_r,334
chr17_75173004_r,63
chr17_75173478_r,238
chr17_75179239_r,26
chr17_75179833_r,146
chr17_75204566_r,134
chr17_75231552_r,4
chr17_752356_r,3
chr17_75235758_f,530
chr17_75236599_r,595
chr17_75248468_f,52
chr17_75249035_r,16
chr17_75251706_f,133
chr17_75253847_r,88
chr17_75254334_r,31
chr17_75258971_r,290
chr17_75260899_r,17
chr17_75262101_f,14
chr17_75266060_f,532
chr17_75266228_r,736
chr17_75266363_f,292
chr17_75272992_r,419
chr17_75290002_r,56
chr17_75296200_r,9
chr17_75305707_r,6
chr17_75316969_r,91
chr17_75318078_r,1797
chr17_75319061_r,11
chr17_75320011_r,1079
chr17_75320358_r,1364
chr17_75321344_r,1119
chr17_75323118_f,183
chr17_75323858_r,513
chr17_75324537_r,739
chr17_75325753_r,162
chr17_75336739_r,609
chr17_75341665_r,42
chr17_75346196_r,550
chr17_75346602_r,759
chr17_75347911_r,27
chr17_75349548_r,1202
chr17_75355209_r,300
chr17_75357221_r,396
chr17_75360354_r,289
chr17_75361954_r,417
chr17_75362266_r,221
chr17_75365465_r,72
chr17_75367728_r,184
chr17_75368232_r,987
chr17_75369871_r,123
chr17_75373452_r,37
chr17_75373826_r,307
chr17_75377634_r,46
chr17_75379794_r,375
chr17_75381407_r,27
chr17_75381855_r,225
chr17_75387451_f,152
chr17_75388439_r,320
chr17_75388767_r,2089
chr17_75393374_r,195
chr17_75398287_r,414
chr17_75398765_r,1109
chr17_75399215_r,379
chr17_75400004_r,614
chr17_75400981_r,549
chr17_75402678_r,17
chr17_75403277_r,56
chr17_75404972_r,2231
chr17_75460360_f,33
chr17_75500088_f,725
chr17_75524738_f,434
chr17_75564723_f,372
chr17_75575209_f,243
chr17_7557884_f,118
chr17_75589634_f,9
chr17_75597546_f,47
chr17_75602151_f,124
chr17_7561606_f,1215
chr17_75620916_f,982
chr17_75626849_f,970
chr17_75641403_f,156
chr17_75647338_f,1
chr17_75658858_f,42
chr17_75665933_r,21
chr17_7567049_f,15
chr17_75672000_f,59
chr17_75672609_f,264
chr17_75672962_f,629
chr17_75675847_r,30
chr17_75682155_f,310
chr17_7569384_f,107
chr17_75706766_f,1034
chr17_7573979_f,135
chr17_75757946_r,647
chr17_7576167_f,4144
chr17_75767264_r,9
chr17_7576936_f,80
chr17_75776434_r,2520
chr17_75776781_r,526
chr17_75777459_r,21185
chr17_75778250_r,31584
chr17_75778550_r,9008
chr17_75779141_r,530
chr17_75779730_r,534
chr17_7578700_f,16333
chr17_75787823_f,50
chr17_7579004_f,1174
chr17_75794077_f,111
chr17_75805392_f,210
chr17_75806772_f,17
chr17_75807230_f,25
chr17_7581640_f,81
chr17_7582111_f,2132
chr17_75824689_f,7
chr17_75825798_f,226
chr17_75827225_r,1179
chr17_75841768_r,410
chr17_75842165_r,154
chr17_75845701_r,1583
chr17_75874164_r,11
chr17_7588176_f,1064
chr17_7588178_r,74
chr17_75888960_r,239
chr17_75893130_r,5
chr17_75895251_r,5
chr17_75898643_r,1837
